disease_signature,library,term,p_value,combined_score,overlap_genes,interpretation
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,AG-370 Up,4.497304053156905e-06,667.0115352346738,PKM;CA2;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,CMAP-ERG-AZD2281 Down,4.497304053156905e-06,667.0115352346738,PKM;CA2;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,ZM-39923 Up,4.497304053156905e-06,667.0115352346738,PKM;CA2;SLC2A1;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Ethylestrenol Up,4.497304053156905e-06,667.0115352346738,CA2;SLC2A1;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,N-MPPP Up,4.497304053156905e-06,667.0115352346738,PKM;SLC2A1;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Deferasirox Up,4.497304053156905e-06,667.0115352346738,PKM;CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Empagliflozin Up,4.497304053156905e-06,667.0115352346738,PKM;CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,GGTI-298 Up,4.497304053156905e-06,667.0115352346738,FTO;DPP4;PKM;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Olomoucine Down,4.497304053156905e-06,667.0115352346738,PKM;SLC2A1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,EMF-sumo1-9 Down,4.497304053156905e-06,667.0115352346738,PKM;CA2;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Ethisterone Up,4.569925457634111e-06,663.3800158957769,PKM;CA2;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,PAC-1 Up,4.569925457634111e-06,663.3800158957769,PKM;CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Resmethrin Up,4.569925457634111e-06,663.3800158957769,PKM;CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,L-glutamic-acid Down,4.569925457634111e-06,663.3800158957769,FTO;CA2;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Mepazine Up,4.569925457634111e-06,663.3800158957769,PKM;CA2;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,AZ-6102 Up,4.569925457634111e-06,663.3800158957769,PKM;CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,VU-0418942-1 Up,4.569925457634111e-06,663.3800158957769,PKM;CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,KU-C103658 Down,4.569925457634111e-06,663.3800158957769,FTO;PKM;CA2;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Dyphylline Up,4.643413786482537e-06,659.7817664249902,FTO;DPP4;CA2;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Clorsulon Down,4.643413786482537e-06,659.7817664249902,CA2;SLC2A1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,SA-1455791 Up,4.643413786482537e-06,659.7817664249902,CA2;SLC2A1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,LUC M617 Up,4.643413786482537e-06,659.7817664249902,DPP4;PKM;CA2;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Clomipramine Down,4.643413786482537e-06,659.7817664249902,CA2;SLC2A1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Gossypol Up,0.00018082388550927088,314.5459125299294,CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,GDC-0068 Down,0.0001854023355140706,310.9211693624197,CA2;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,DM-55-3 Up,0.0001877196379064523,309.13492244651553,PKM;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Taselisib Down,0.0001877196379064523,309.13492244651553,CA2;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Angiogenesis-Inhibitor Up,0.00019005575087453592,307.36577462542357,CA2;SLC2A1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Daprodustat Down,0.00019005575087453592,307.36577462542357,CA2;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Amidopyrine Down,0.00019005575087453592,307.36577462542357,CA2;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Cycloheximide Down,0.00019005575087453592,307.36577462542357,FTO;PKM;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Piperine Down,0.00019005575087453592,307.36577462542357,CA2;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Artemether Up,0.00019241074355822626,305.6134931663387,DPP4;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,MW-STK33-23 Up,0.00019241074355822626,305.6134931663387,FTO;CA2;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,MK-2206 Down,0.00019241074355822626,305.6134931663387,CA2;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Strophanthidin Down,0.00019241074355822626,305.6134931663387,DPP4;PKM;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,NSC-119889 Down,0.00019241074355822626,305.6134931663387,DPP4;CA2;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Iopromide Down,0.00019478468503091324,303.8778494479002,DPP4;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Bisindolylmaleimide-Ix Up,0.00019478468503091324,303.8778494479002,FTO;CA2;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,PNU-74654 Up,0.00019478468503091324,303.8778494479002,PKM;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Doxercalciferol Up,0.00019478468503091324,303.8778494479002,CA2;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,CVF-SUMO-11 Up,0.00019478468503091324,303.8778494479002,CA2;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,GSK-2334470 Down,0.00019478468503091324,303.8778494479002,CA2;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Cyclizine Down,0.00019717764430167352,302.15861887060737,PKM;CA2;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Peruvoside Down,0.00019717764430167352,302.15861887060737,FTO;PKM;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Fenretinide Up,0.00019717764430167352,302.15861887060737,CA2;SLC2A1;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Atrasentan Down,0.00019717764430167352,302.15861887060737,CA2;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Methoxypyruvic-Acid Down,0.00019717764430167352,302.15861887060737,PKM;CA2;SLC2A1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Alprazolam Up,0.00019717764430167352,302.15861887060737,PKM;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,620 7033 4251 Down,0.00019717764430167352,302.15861887060737,PKM;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Avicin-D Down,0.00019717764430167352,302.15861887060737,PKM;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,SA-1939938 Up,0.00019717764430167352,302.15861887060737,DPP4;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Progesterone Down,0.00019717764430167352,302.15861887060737,CA2;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Serdemetan Down,0.00019717764430167352,302.15861887060737,FTO;CA2;SLC2A1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Pancuronium Down,0.00019717764430167352,302.15861887060737,DPP4;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,QL-X-138 Down,0.00019717764430167352,302.15861887060737,PKM;CA2;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Piperacillin Down,0.00019958969022854052,300.4555807852775,SLC2A1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,CGS-15943 Up,0.00019958969022854052,300.4555807852775,SLC2A1;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Homatropine Up,0.00019958969022854052,300.4555807852775,PKM;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,PP-1 Up,0.00019958969022854052,300.4555807852775,FTO;DPP4;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,BRL-54443 Up,0.00019958969022854052,300.4555807852775,DPP4;PKM;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Cyclopentene Down,0.00019958969022854052,300.4555807852775,SLC2A1;AKR1B1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Atazanavir Down,0.00019958969022854052,300.4555807852775,AKR1B1;F3;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,TRIFLUPERIDOL-2HCL Down,0.00019958969022854052,300.4555807852775,CA2;SLC2A1;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Letrozole Up,0.00019958969022854052,300.4555807852775,DPP4;CA2;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Cladribine Up,0.00019958969022854052,300.4555807852775,CA2;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Buflomedil Up,0.00019958969022854052,300.4555807852775,FTO;CA2;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Lomifylline Up,0.00019958969022854052,300.4555807852775,DPP4;CA2;AKR1B1,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Tizanidine Up,0.00019958969022854052,300.4555807852775,PKM;AKR1B1;F3,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
osteoclast_up_at_d9,LINCS_L1000_Chem_Pert_Consensus_Sigs,Furfural Up,0.00019958969022854052,300.4555807852775,DPP4;SLC2A1;ABCG2,perturbagens associated with the osteoclast signature; candidate reversers where a perturbagen down-regulates the up-signature (confirm with Level-5 directionality)
