target,herbs,ot_genetic_association,gwas_catalog_bone_gene,has_significant_cis_eqtl,max_pchembl,osteoclast_delta_d9_vs_d0,human_genetics_support,causal_grade,pharmacology_direction_hypothesis
HIF1A,骨碎补,0.0,False,,5.8,-2.226134858383229,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
HDAC6,骨碎补,0.0,False,,5.77,-0.09081326972988,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
RPS6KA3,骨碎补,0.0,False,,5.77,0.5376931344388156,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
TDP1,骨碎补,0.0,False,,5.7,0.5948335617077167,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
MPO,骨碎补,0.0,False,,5.65,-1.20891821518985,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
FLT3,骨碎补,0.0,False,,5.63,-1.9959313518239867,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
ABCC1,骨碎补,0.0,False,,5.62,0.0,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
RELA,牛膝,0.0,False,,5.62,-1.6033271410738106,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
IP6K2,骨碎补,0.0,False,,5.6,-0.8592076062534826,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
ALOX5,骨碎补,0.0,False,,5.57,-2.456426425436244,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
PSMB2,牛膝,0.0,False,,5.57,0.4794389351921033,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
PLA2G1B,牛膝,0.0,False,,5.52,0.0346598197051005,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
POLB,牛膝,0.0,False,,5.52,-0.1166461920920425,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
GSK3A,骨碎补,0.0,False,,5.46,-0.5576784212534829,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
TRPC5,骨碎补,0.0,False,,5.41,0.0122951521374048,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
SLC2A1,骨碎补,0.0,False,,5.4,1.053985468816462,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
TP53,骨碎补,0.0,False,,5.4,0.9632510391962832,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
IPMK,骨碎补,0.0,False,,5.36,-1.390391884221517,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
ABCG2,骨碎补,0.0,False,,5.33,1.715774128802108,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
DUSP3,牛膝,0.0,False,,5.27,0.4713451805118538,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CYP2C19,骨碎补,0.0,False,,5.2,-0.0131956401045631,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
ABCB1,骨碎补,0.0,False,,5.17,0.1358761716942497,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
YES1,骨碎补,0.0,False,,5.17,0.0617696167848781,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
ALOX15,骨碎补,0.0,False,,5.1,0.2277941434552182,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CYP3A4,骨碎补,0.0,False,,5.1,-0.0053496812311181,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CA2,骨碎补,0.0,False,,5.02,5.418276968615646,False,C_pharmacology_or_prediction_only,up_in_osteoclastogenesis:inhibit_to_reduce_resorption
ESRRA,骨碎补,0.0,False,,5.02,0.6223111377928028,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
AR,骨碎补,0.0,False,,5.01,0.0080572607660855,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
CTDSP1,骨碎补,0.0,False,,5.0,-1.4692425010585932,False,C_pharmacology_or_prediction_only,down_in_osteoclastogenesis:activate_or_context_dependent
CYP2D6,骨碎补,0.0,False,,5.0,-0.16491783966632,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
DAPK1,骨碎补,0.0,False,,5.0,0.810532381592795,False,C_pharmacology_or_prediction_only,direction_uncertain_requires_MR_beta
