target,open_targets_score,genetic_association,ensembl_id,note
SLC1A3,0.4456522459313072,0.7330641047996616,ENSG00000079215,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PGR,0.4441745404829242,0.0,ENSG00000082175,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SH2B3,0.44400277310175035,0.7303508472446287,ENSG00000111252,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
WLS,0.44347683962016404,0.725048676128945,ENSG00000116729,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
AQP1,0.4305057935146686,0.7075414098937921,ENSG00000240583,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CCDC170,0.42428779934764516,0.6866683341090893,ENSG00000120262,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CYP19A1,0.4235226120120589,0.6825974987491401,ENSG00000137869,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CTNNB1,0.41722179736464854,0.6532784217688115,ENSG00000168036,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CTSK,0.40006847783719285,0.0,ENSG00000143387,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SOX6,0.398536180192446,0.6320583859578452,ENSG00000110693,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
JAG1,0.39603960712878145,0.6381909603594138,ENSG00000101384,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
LGR4,0.3955560671702674,0.48310375025621133,ENSG00000205213,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TMEM135,0.3883815854774906,0.6376507989800981,ENSG00000166575,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
WNT11,0.37303953276883356,0.0,ENSG00000085741,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CCR1,0.35540036691603355,0.583437194487577,ENSG00000163823,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
IFITM5,0.34199995802885597,0.5592963338026914,ENSG00000206013,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SLC34A3,0.34100224641281335,0.5592963338026914,ENSG00000198569,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SEM1,0.33977859140451033,0.5576941208228401,ENSG00000127922,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GHR,0.3347751851751237,0.0,ENSG00000112964,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CDK9,0.333361028925601,0.547137717850459,ENSG00000136807,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MIR2861,0.3326218692162316,0.547137717850459,ENSG00000284547,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GALNT3,0.3289988041163961,0.5239851398235759,ENSG00000115339,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ZBTB40,0.32840408421646144,0.5095228226223285,ENSG00000184677,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SLC25A13,0.32689553943863814,0.5377183401842994,ENSG00000004864,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HOXC6,0.32472694999341734,0.5341511752146342,ENSG00000197757,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GUCY1B1,0.3233823728491141,0.0,ENSG00000061918,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GUCY1A2,0.3233823728491141,0.0,ENSG00000152402,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GUCY1A1,0.3233823728491141,0.0,ENSG00000164116,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CFAP97D1,0.31833676458865906,0.5236398054504054,ENSG00000231256,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FGFRL1,0.31271550137426085,0.4900599797799368,ENSG00000127418,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
COLEC10,0.3051327861275696,0.5000964711081186,ENSG00000184374,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ALDH7A1,0.30266773429361765,0.4910449693557685,ENSG00000164904,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
EN1,0.3015768517928854,0.4883277563034425,ENSG00000163064,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CASR,0.2975134988775017,0.0,ENSG00000036828,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CRELD2,0.2952176129081495,0.48302685055501493,ENSG00000184164,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PDZRN4,0.28930310797159947,0.4758816449309447,ENSG00000165966,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
UGT8,0.2888107277648558,0.47446378608119605,ENSG00000174607,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
NFATC1,0.28603045205786326,0.4593589819876443,ENSG00000131196,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FMN2,0.2794498259730338,0.4596737442335689,ENSG00000155816,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
DDN,0.27660729708344206,0.45499800005222585,ENSG00000181418,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
STK39,0.2698200182167301,0.4188751965816267,ENSG00000198648,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
DPP4,0.2697023872895011,0.0,ENSG00000197635,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
RPS6KA5,0.26851473934612036,0.4410784262697302,ENSG00000100784,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
AXIN1,0.2677079967912162,0.41124083771725395,ENSG00000103126,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SRC,0.2653043612432015,0.42555155832813474,ENSG00000197122,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
OFD1,0.25870589827929125,0.42555155832813474,ENSG00000046651,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
VTI1A,0.25866423852847287,0.4239632042073636,ENSG00000151532,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SP7,0.25692233981350165,0.4011822917082619,ENSG00000170374,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CSMD1,0.24787838197816317,0.4062212891856471,ENSG00000183117,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
KAT2B,0.24731383199315146,0.40133072879526704,ENSG00000114166,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
QTMAN,0.24670610858458394,0.4058128154615932,ENSG00000121964,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
IDUA,0.24650549407529856,0.37245556533866253,ENSG00000127415,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PPP6R3,0.24334547929728864,0.39937293927058065,ENSG00000110075,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CCND2,0.24176077546898206,0.3976781180009108,ENSG00000118971,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TLE3,0.23738819894253835,0.3904855616382092,ENSG00000140332,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
WNT4,0.23671356528726353,0.3805526167102015,ENSG00000162552,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
STARD13,0.23553552045975176,0.3868301154160374,ENSG00000133121,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SETD4,0.22870868920231882,0.3762084271776444,ENSG00000185917,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SOX4,0.2265794915078322,0.34513947047234367,ENSG00000124766,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HDAC5,0.22207572951639032,0.3612120794562127,ENSG00000108840,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GLDN,0.2213851964863872,0.36416183775545446,ENSG00000186417,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
C3orf38,0.2105193988286736,0.34628842568223484,ENSG00000179021,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
API5,0.20758837334953134,0.3414671113309018,ENSG00000166181,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
STARD3NL,0.2054924212712147,0.3243958690094029,ENSG00000010270,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
AKAP11,0.1982388574865575,0.3226083133755323,ENSG00000023516,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SPRED1,0.19184581613785218,0.3149638693012766,ENSG00000166068,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
P4HA2,0.1847899273423509,0.3039653988058105,ENSG00000072682,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SRPK3,0.17927646916671033,0.2948961787608625,ENSG00000184343,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
LRP4,0.1620324714693371,0.25528675595149786,ENSG00000134569,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
DAG1,0.16171092067623175,0.2660021853006062,ENSG00000173402,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PKDCC,0.16020521274584165,0.26094170419833856,ENSG00000162878,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
STX19,0.15882241398366254,0.26125081112460247,ENSG00000178750,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CCR3,0.1553717969597064,0.2541014203003701,ENSG00000183625,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MARK3,0.14269760030679082,0.23123685651564352,ENSG00000075413,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FOXL1,0.14140775983870374,0.22060683763532113,ENSG00000176678,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SERPINF1,0.14070264067325622,0.2279740491043579,ENSG00000132386,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TMCO5A,0.13767370377947724,0.2264627887258816,ENSG00000166069,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HBQ1,0.13264641022140167,0.21819327256084062,ENSG00000086506,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FOXC2,0.13183746054083548,0.198758807875418,ENSG00000176692,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
RYR1,0.13168761588001013,0.19453785523571876,ENSG00000196218,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HOXC5,0.12990271752043903,0.21368010640485413,ENSG00000172789,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
LIN7C,0.12644518353854234,0.18633975036198183,ENSG00000148943,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CKB,0.1237222181060597,0.19953677353831506,ENSG00000166165,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ETS2,0.1231777862742049,0.20261810514968762,ENSG00000157557,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GREM2,0.12197581376065876,0.18574959652264258,ENSG00000180875,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MEPE,0.12158630865433784,0.1971069642752681,ENSG00000152595,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
OPA1,0.1203906376635416,0.19453785523571876,ENSG00000198836,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SUPT3H,0.11991285174099062,0.19663960496154465,ENSG00000196284,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GAS5,0.11734863709470414,0.0,ENSG00000234741,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CBR1,0.11591178927754274,0.19066609181986768,ENSG00000159228,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MIMS1,0.11214242704795267,0.15587634873820375,ENSG00000177150,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
UBA7,0.10735589164853879,0.17537642830077824,ENSG00000182179,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ZDHHC6,0.10679146339684145,0.17566384828074721,ENSG00000023041,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
IGF1,0.10600281406553741,0.0,ENSG00000017427,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ASB16,0.10553556346594008,0.17162221316655396,ENSG00000161664,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
IL6,0.10527003389845234,0.0,ENSG00000136244,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GPR78,0.10397494297531132,0.17103088605446193,ENSG00000155269,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
BGLAP,0.10377377793663277,0.0,ENSG00000242252,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CYP27B1,0.1030813526177275,0.0,ENSG00000111012,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GCG,0.10097608727976116,0.0,ENSG00000115263,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CST3,0.09995833812991622,0.0,ENSG00000101439,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CD40LG,0.09860586458080721,0.0,ENSG00000102245,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
POSTN,0.09858270867435986,0.0,ENSG00000133110,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FHL2,0.09842724811256057,0.0,ENSG00000115641,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MESP2,0.09806301519005237,0.0,ENSG00000188095,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MALAT1,0.09775896903855873,0.0,ENSG00000251562,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FBXL14,0.09766850753699424,0.1606572786256342,ENSG00000171823,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PPARG,0.09671246971297061,0.0,ENSG00000132170,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
APPL1,0.09547746498138733,0.0,ENSG00000157500,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PAX1,0.09522583915584751,0.0,ENSG00000125813,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
LRP6,0.09521639332301114,0.0,ENSG00000070018,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TTR,0.09484642930603417,0.0,ENSG00000118271,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
RUNX2,0.09481355270879953,0.05622122508079459,ENSG00000124813,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FGF21,0.09480161304311738,0.0,ENSG00000105550,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FGF2,0.09445782500943051,0.0,ENSG00000138685,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CDX1,0.0940556922769091,0.0,ENSG00000113722,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FGFR1,0.09355938438293193,0.0,ENSG00000077782,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TRAF6,0.09303104634345614,0.0,ENSG00000175104,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PHC2,0.09301549155502026,0.0,ENSG00000134686,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HOXC9,0.09254198944135628,0.11402089794981192,ENSG00000180806,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
APOA1,0.09229411249385767,0.0,ENSG00000118137,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HOXC4,0.09113796746107419,0.044933058940516656,ENSG00000198353,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CSRNP3,0.09111777958950937,0.14988182856911342,ENSG00000178662,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HES7,0.09108483982336892,0.0,ENSG00000179111,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
LEP,0.09101784943610061,0.0,ENSG00000174697,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PCSK9,0.09099261344478851,0.0,ENSG00000169174,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GLP1R,0.09031394008138567,0.0,ENSG00000112164,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ALG12,0.09022234144779892,0.14840890081939526,ENSG00000182858,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SMN1,0.09011647888269184,0.0,ENSG00000172062,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
METTL14,0.08953889519248467,0.0,ENSG00000145388,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CSNK2A2IP,0.08931999180900772,0.14692460418179068,ENSG00000283434,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
FGFR3,0.0890700181594093,0.0,ENSG00000068078,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
OXT,0.08894930992245738,0.0,ENSG00000101405,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
CTHRC1,0.08881925286787223,0.0,ENSG00000164932,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
IAPP,0.08863500835750397,0.0,ENSG00000121351,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
NOTCH1,0.08824946995809552,0.0,ENSG00000148400,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
PHEX,0.08759315705783736,0.0,ENSG00000102174,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MACF1,0.0875444190348409,0.0,ENSG00000127603,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GCK,0.08753293536065669,0.0,ENSG00000106633,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ALPL,0.08745385812892485,0.0,ENSG00000162551,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
NKX3-2,0.08703429080397752,0.0,ENSG00000109705,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
IL18,0.08701835028910353,0.0,ENSG00000150782,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
DHFR2,0.0869973212593663,0.14310398749520972,ENSG00000178700,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
APOB,0.08695708882403672,0.0,ENSG00000084674,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
KDM6B,0.08666872189637562,0.0,ENSG00000132510,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
SMN2,0.08666450037886597,0.0,ENSG00000205571,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TBX6,0.08664425801463177,0.0,ENSG00000149922,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
WNT3A,0.08625767567525694,0.0,ENSG00000154342,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MEOX1,0.08585545346467115,0.0,ENSG00000005102,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
INS,0.08579773925761416,0.0,ENSG00000254647,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
USP7,0.08578502121359523,0.0,ENSG00000187555,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HIF1A,0.08573418158526028,0.0,ENSG00000100644,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
LRG1,0.08565526437671694,0.0,ENSG00000171236,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TLR4,0.08555802711117459,0.0,ENSG00000136869,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
RING1,0.08529410272983337,0.0,ENSG00000204227,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
RARRES2,0.08527205121767933,0.0,ENSG00000106538,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
TP53,0.0852182899844695,0.0,ENSG00000141510,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
RARG,0.08512291334114343,0.0,ENSG00000172819,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
ACVR2B,0.08506997308018124,0.0,ENSG00000114739,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
BTG2,0.08499145789327489,0.0,ENSG00000159388,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
GPT,0.08498786438058838,0.0,ENSG00000167701,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
MGP,0.08485624278000091,0.0,ENSG00000111341,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
HOXA4,0.0847310580873283,0.0,ENSG00000197576,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
E2F6,0.08352576578623784,0.0,ENSG00000169016,"Open Targets association score is a weighted ranking heuristic (genetics+drugs+literature+animal+expression), not a probability"
